merchant_id,merchant_name,sector,onboarded_month,churn_month,status
M-0060,Kingfisher Outfitters,Retail,2024-09,,Active
M-0061,Bluewater Stores,Retail,2026-02,,Active
M-0062,Ashdown Supplies,Retail,2025-10,,Active
M-0063,Silverton Online,Online,2023-04,2025-05,Churned
M-0064,Stanmore Retail,Retail,2024-08,,Active
M-0065,Brightwell Consulting,Services,2023-11,,Active
M-0066,Ravensworth Motors,Services,2026-05,,Active
M-0067,Cedarfield Motors,Services,2024-06,,Active
M-0068,Oakhurst Clinics,Services,2025-09,,Active
M-0069,Longacre Kitchen,Hospitality,2025-01,,Active
M-0070,Brightwell Direct,Online,2025-09,,Active
M-0071,Silverton Holidays,Travel,2023-11,,Active
M-0072,Hollybank Stores,Retail,2025-09,,Active
M-0073,Clearbrook Trading,Retail,2024-04,,Active
M-0074,Harborne Goods,Online,2025-01,,Active
M-0075,Hollybank Tours,Travel,2024-05,,Active
M-0076,Kingfisher Trading,Retail,2023-01,,Active
M-0077,Greystone Kitchen,Hospitality,2024-09,,Active
M-0078,Eastgate Trading,Retail,2022-10,,Active
M-0079,Millbrook Kitchen,Hospitality,2022-04,,Active
M-0080,Millbrook Trading,Retail,2021-12,,Active
M-0081,Ravensworth Supplies,Retail,2025-02,,Active
M-0082,Stanmore Clinics,Services,2021-05,,Active
M-0083,Brightwell Outfitters,Retail,2024-08,,Active
M-0084,Fenwick Home & Garden,Retail,2025-03,,Active
M-0085,Hollybank Retail,Retail,2026-05,,Active
M-0086,Kingfisher Eatery,Hospitality,2026-02,,Active
M-0087,Millbrook Studios,Services,2025-09,,Active
M-0088,Falconer Bistro,Hospitality,2024-05,,Active
M-0089,Millbrook Charters,Travel,2021-06,2025-03,Churned
M-0090,Thistledown Bistro,Hospitality,2024-03,2025-06,Churned
M-0091,Harborne Clinics,Services,2025-02,,Active
M-0092,Falconer Tours,Travel,2025-01,,Active
M-0093,Greystone Motors,Services,2025-01,,Active
M-0094,Fenwick Consulting,Services,2024-02,2025-09,Churned
M-0095,Hollybank Holidays,Travel,2024-02,,Active
M-0096,Harborne Training,Services,2025-05,,Active
M-0097,Harborne Supplies,Retail,2025-11,,Active
M-0098,Oakhurst Retail,Retail,2021-05,,Active
M-0099,Thistledown Studios,Services,2025-01,,Active
M-0100,Ravensworth Direct,Online,2025-12,,Active
M-0101,Harborne Coffee Co,Hospitality,2024-05,,Active
M-0102,Hollybank Eatery,Hospitality,2022-06,,Active
M-0103,Ashdown Eatery,Hospitality,2026-04,,Active
M-0104,Clearbrook Home & Garden,Retail,2024-12,,Active
M-0105,Ravensworth Commerce,Online,2024-08,,Active
M-0106,Redgrave Supplies,Retail,2024-09,,Active
M-0107,Thistledown Inns,Hospitality,2025-11,,Active
M-0108,Marlin Bistro,Hospitality,2026-02,,Active
M-0109,Fenwick Outfitters,Retail,2022-05,,Active
M-0110,Longacre Bistro,Hospitality,2026-01,,Active
M-0111,Falconer Motors,Services,2025-08,,Active
M-0112,Brightwell Coffee Co,Hospitality,2025-09,,Active
M-0113,Cedarfield Studios,Services,2024-08,,Active
M-0114,Kingfisher Stores,Retail,2025-07,,Active
M-0115,Marlin Stores,Retail,2026-02,,Active
M-0116,Norbury Holidays,Travel,2023-02,,Active
M-0117,Norbury Stores,Retail,2024-12,,Active
M-0118,Greystone Trading,Retail,2024-10,2025-11,Churned
M-0119,Marlin Charters,Travel,2025-12,,Active
M-0120,Hollybank Bistro,Hospitality,2024-08,,Active
M-0121,Longacre Trading,Retail,2022-12,,Active
M-0122,Oakhurst Tours,Travel,2023-12,,Active
M-0123,Westcliff Inns,Hospitality,2023-12,,Active
M-0124,Cedarfield Trading,Retail,2024-12,,Active
M-0125,Cedarfield Outfitters,Retail,2025-06,,Active
M-0126,Hollybank Goods,Online,2024-07,2026-01,Churned
M-0127,Marlin Retail,Retail,2021-06,,Active
M-0128,Ravensworth Holidays,Travel,2025-06,,Active
M-0129,Oakhurst Goods,Online,2025-11,,Active
M-0130,Silverton Stores,Retail,2025-09,,Active
M-0131,Harborne Motors,Services,2022-09,,Active
M-0132,Westcliff Eatery,Hospitality,2025-01,,Active
M-0133,Greystone Studios,Services,2024-06,,Active
M-0134,Westcliff Consulting,Services,2025-12,,Active
M-0135,Hollybank Outfitters,Retail,2021-11,,Active
M-0136,Falconer Lettings,Services,2024-04,,Active
M-0137,Westcliff Goods,Online,2023-05,,Active
M-0138,Marlin Goods,Online,2024-10,,Active
M-0139,Thistledown Clinics,Services,2026-04,,Active
M-0140,Norbury Inns,Hospitality,2025-10,,Active
M-0141,Redgrave Outfitters,Retail,2024-07,,Active
M-0142,Oakhurst Outfitters,Retail,2025-02,,Active
M-0143,Cedarfield Retail,Retail,2021-06,,Active
M-0144,Kingfisher Home & Garden,Retail,2022-08,,Active
M-0145,Cedarfield Tours,Travel,2025-05,,Active
M-0146,Stanmore Outfitters,Retail,2026-02,,Active
M-0147,Millbrook Supplies,Retail,2026-04,,Active
M-0148,Millbrook Digital,Online,2024-11,2026-04,Churned
M-0149,Marlin Home & Garden,Retail,2026-05,,Active
M-0150,Clearbrook Inns,Hospitality,2024-02,2025-12,Churned
M-0151,Kingfisher Supplies,Retail,2025-05,,Active
M-0152,Brightwell Taproom,Hospitality,2025-10,,Active
M-0153,Clearbrook Digital,Online,2025-11,,Active
M-0154,Longacre Goods,Online,2021-07,,Active
M-0155,Redgrave Motors,Services,2021-09,,Active
M-0156,Silverton Digital,Online,2022-04,,Active
M-0157,Cedarfield Travel,Travel,2021-11,,Active
M-0158,Oakhurst Escapes,Travel,2023-11,2025-04,Churned
M-0159,Longacre Eatery,Hospitality,2021-08,,Active
M-0160,Oakhurst Commerce,Online,2025-10,,Active
M-0161,Cedarfield Eatery,Hospitality,2025-12,,Active
M-0162,Harborne Eatery,Hospitality,2021-08,,Active
M-0163,Longacre Stores,Retail,2024-08,,Active
M-0164,Marlin Outfitters,Retail,2023-11,,Active
M-0165,Fenwick Inns,Hospitality,2025-10,,Active
M-0166,Marlin Taproom,Hospitality,2021-09,,Active
M-0167,Millbrook Motors,Services,2025-04,,Active
M-0168,Thistledown Motors,Services,2023-03,2026-05,Churned
M-0169,Ravensworth Goods,Online,2022-09,,Active
M-0170,Greystone Stores,Retail,2026-05,,Active
M-0171,Wychwood Travel,Travel,2021-07,,Active
M-0172,Redgrave Stores,Retail,2026-03,,Active
M-0173,Thistledown Online,Online,2025-01,,Active
M-0174,Greystone Charters,Travel,2024-05,,Active
M-0175,Falconer Training,Services,2025-03,,Active
M-0176,Marlin Holidays,Travel,2026-04,,Active
M-0177,Greystone Inns,Hospitality,2024-03,,Active
M-0178,Clearbrook Taproom,Hospitality,2023-07,,Active
M-0179,Longacre Marketplace,Online,2025-03,,Active
M-0180,Fenwick Stores,Retail,2024-09,,Active
M-0181,Redgrave Coffee Co,Hospitality,2023-03,2025-01,Churned
M-0182,Norbury Lettings,Services,2024-01,2025-01,Churned
M-0183,Hollybank Supplies,Retail,2023-04,2025-02,Churned
M-0184,Marlin Escapes,Travel,2024-06,,Active
M-0185,Hollybank Direct,Online,2026-02,,Active
